Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
1360300;Instrumentos emitidos en el exterior;0;0;0;202.030;202.030
1400000;INVERSIONES EN SOCIEDADES;6.271;0;0;4.141;10.412
1400100;Inversiones a valor patrimonial;0;0;0;0;0
1400101;Sucursales en el exterior;0;0;0;0;0
1400103;Sociedades con influencia significativa;0;0;0;0;0
1400200;Acciones o derechos en otras sociedades;6.271;0;0;4.141;10.412
1500000;INTANGIBLES;1.414.787;0;0;190.447;1.605.234
1500100;Menor valor de inversiones (Goodwill);1.169.243;0;0;0;1.169.243
1500200;Otros activos intangibles;245.544;0;0;190.447;435.991
1600000;ACTIVO FIJO;81.736;0;0;48.843;130.579
1600100;Edificios y terrenos;49.101;0;0;34.050;83.151
1600200;Otros activos fijos;32.635;0;0;14.793;47.428
1700000;IMPUESTOS CORRIENTES;202.093;0;0;36.359;238.452
1750000;IMPUESTOS DIFERIDOS;136.224;0;0;24.885;161.109
1800000;OTROS ACTIVOS;256.027;12.843;0;175.822;444.692
1800100;Activos para leasing;8.557;0;0;17.184;25.741
1800200;Bienes recibidos en pago o adjudicados;6.876;0;0;10.160;17.036
1800900;Otros activos;240.594;12.843;0;148.478;401.915
2000000;PASIVOS;10.433.420;4.476.811;648;9.785.783;24.696.662
2100000;DEPOSITOS Y OTRAS OBLIGACIONES A LA VISTA;1.952.975;7.803;0;2.180.889;4.141.667
2100100;Cuentas corrientes;1.618.197;0;0;855.086;2.473.283
2100109;Cuentas corrientes de otras personas jurídicas;1.046.605;0;0;742.679;1.789.284
2100110;Cuentas corrientes de personas naturales;571.588;0;0;106.215;677.803
2100200;Otros depósitos y cuentas a la vista;178.790;0;0;1.184.227;1.363.017
2100300;Otras obligaciones a la vista;155.988;7.803;0;141.576;305.367
2130000;OPERACIONES CON LIQUIDACION EN CURSO;56.399;0;0;53.097;109.496
2160000;CONTRATOS DE RETROCOMPRA Y PRÉSTAMOS DE VALORES;44.264;0;0;376.656;420.920
2160100;Operaciones con bancos del país;0;0;0;0;0
2160200;Operaciones con otras entidades;44.264;0;0;376.656;420.920
2200000;DEPOSITOS Y OTRAS CAPTACIONES A PLAZO;6.034.571;814.336;1;3.216.335;10.065.243
2200100;Depósitos a plazo;6.034.330;806.379;1;3.195.873;10.036.583
2200200;Cuentas de ahorro a plazo;2;7.946;0;20.462;28.410
2200900;Otros saldos acreedores a plazo;239;11;0;0;250
2250000;CONTRATOS DE DERIVADOS FINANCIEROS;869.263;84.530;0;141.361;1.095.154
2250100;Contratos de negociación;769.865;70.016;0;133.895;973.776
2250200;Contratos para cobertura contable;99.398;14.514;0;7.466;121.378
2300000;OBLIGACIONES CON BANCOS;-1.257;21.958;0;2.175.429;2.196.130
2301000;BANCOS DEL PAÍS;0;21.958;0;0;21.958
2301001;Préstamos interbancarios;0;0;0;0;0
2302000;BANCOS DEL EXTERIOR;-1.257;0;0;2.175.429;2.174.172
2302100;Financiamientos de comercio exterior;0;0;0;209.331;209.331
2302200;Préstamos y otras obligaciones;-1.257;0;0;1.966.098;1.964.841
2303000;BANCO CENTRAL DE CHILE;0;0;0;0;0
2303100;Préstamos y otras obligaciones;0;0;0;0;0
2303900;Líneas de crédito reprogramación de deudas;0;0;0;0;0
2400000;INSTRUMENTOS DE DEUDA EMITIDOS;1.179.526;3.381.318;0;1.389.194;5.950.038
2401000;LETRAS DE CREDITO;0;67.938;0;0;67.938
2402000;BONOS;1.179.526;3.313.380;0;1.389.194;5.882.100
2402100;Bonos corrientes;1.179.526;2.451.810;0;1.209.582;4.840.918
2402200;Bonos subordinados;0;861.570;0;179.612;1.041.182
2402300;Bonos hipotecarios;0;0;0;0;0
2500000;OTRAS OBLIGACIONES FINANCIERAS;16.255;0;0;811;17.066
2500100;Obligaciones con el sector público;0;0;0;0;0
2500200;Otras obligaciones en el país;16.255;0;0;0;16.255
2500300;Obligaciones con el exterior;0;0;0;811;811
2600000;IMPUESTOS CORRIENTES;624;0;0;0;624
2650000;IMPUESTOS DIFERIDOS;52;0;0;11.382;11.434
2700000;PROVISIONES;98.292;0;0;91.398;189.690
2700100;Provisiones para beneficios y remuneraciones del personal;33.586;0;0;56.973;90.559
2700200;Provisión para dividendos mínimos;17.234;0;0;0;17.234
2700300;Provisiones por riesgo de créditos contingentes;36.179;0;0;28.762;64.941
2700400;Provisiones por contingencias;11.293;0;0;5.663;16.956
2700401;Provisiones por riesgo país;2.120;0;0;4.740;6.860
2700402;Provisiones especiales para créditos al exterior;0;0;0;0;0
2700411;Provisiones adicionales colocaciones comerciales;0;0;0;0;0
2700412;Provisiones adicionales colocaciones para vivienda;0;0;0;0;0
2700413;Provisiones adicionales colocaciones de consumo;0;0;0;0;0
2700421;Ajuste a provisión mínima adeudado por bancos;0;0;0;0;0
2700422;Ajuste a provisión mínima colocaciones comerciales;0;0;0;0;0
2700423;Ajuste a provisión mínima créditos contingentes;0;0;0;0;0
2700490;Otras provisiones por contingencias;9.173;0;0;923;10.096
2800000;OTROS PASIVOS;182.456;166.866;647;149.231;499.200
3000000;PATRIMONIO;3.319.407;97.911;-1.147;-16.341;3.399.830
3101000;CAPITAL;1.862.826;0;0;0;1.862.826
3102000;RESERVAS;1.290.131;0;0;0;1.290.131
3103000;CUENTAS DE VALORACIÓN;-4.735;0;0;0;-4.735
3104000;UTILIDADES RETENIDAS;-37.931;97.911;-1.147;-17.179;41.654
3104100;Utilidades retenidas de ejercicios anteriores;1.441;0;0;0;1.441
3104200;Utilidad (pérdida) del ejercicio;-22.138;97.911;-1.147;-17.179;57.447
3104300;Provisión para dividendos mínimos;-17.234;0;0;0;-17.234
3200000;INTERES NO CONTROLADOR;209.116;0;0;838;209.954
5001000;PATRIMONIO DE LOS PROPIETARIOS;3.110.291;97.911;-1.147;-17.179;3.189.876
5002000;TOTAL PASIVO Y PATRIMONIO;13.752.827;4.574.722;-499;9.769.442;28.096.492
5100000;TOTAL COLOCACIONES;5.977.272;7.729.557;6.658;6.725.961;20.439.448
