
Código Contable;Descripción;Total (suma de todas las monedas)
411450400;Depósitos en bancos del exterior;267.996.310
411450900;Otros intereses ganados;663.077.312
411700000;ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL;31.078.167.226
411720000;Instrumentos financieros de deuda;30.831.045.234
411720100;Del Estado y Banco Central de Chile;30.543.824.505
411720101;Instrumentos financieros de deuda del Banco Central de Chile;28.959.098.512
411720102;Bonos y pagarés de la Tesorería General de la República;1.020.658.913
411720109;Otros instrumentos financieros de deuda fiscales;564.067.080
411720200;Otros instrumentos financieros de deuda emitidos en el país;169.768.383
411720201;Instrumentos financieros de deuda de otros bancos del país;83.458.369
411720202;Bonos y efectos de comercio de empresas del país;0
411720209;Otros instrumentos financieros de deuda emitidos en el país;86.310.014
411720300;Instrumentos financieros de deuda emitidos en el exterior;117.452.346
411720301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411720302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;5.939.001
411720303;Instrumentos financieros de deuda de otros bancos en el exterior;82.038.011
411720304;Bonos y efectos de comercio de empresas en el exterior;0
411720309;Otros instrumentos financieros de deuda emitidos en el exterior;29.475.334
411740000;Otros instrumentos financieros;247.121.992
411740100;Créditos originados y adquiridos por la entidad;0
411740101;Adeudado por bancos;0
411740102;Colocaciones comerciales;0
411740103;Colocaciones para vivienda;0
411740104;Colocaciones de consumo;0
411740200;Otros;247.121.992
411800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS;13.745.753.370
411800100;Utilidad por contratos de derivados financieros para cobertura contable;58.653.282.450
411800200;Pérdida por contratos de derivados financieros para cobertura contable;-36.366.209.601
411800300;Resultados por ajuste de activos financieros cubiertos;-8.541.319.479
412000000;GASTOS POR INTERESES;-169.097.187.143
412100000;PASIVOS FINANCIEROS A COSTO AMORTIZADO;-172.309.250.151
412150000;Depósitos y otras obligaciones a la vista;-15.259.089.703
412150100;Cuentas corrientes;-1.689.218.540
412150101;Cuentas corrientes de bancos del país;0
412150102;Cuentas corrientes de bancos del exterior;0
412150103;Cuentas corrientes de otras personas jurídicas;-1.689.054.665
412150104;Cuentas corrientes de personas naturales;-163.875
412150200;Cuentas de depósito a la vista;-13.358.102.484
412150201;Cuentas de ahorro a la vista;0
412150202;Cuentas a la vista;-13.358.102.484
412150300;Otros depósitos a la vista;0
412150500;Otras obligaciones a la vista;-211.768.679
412180000;Depósitos y otras captaciones a plazo;-97.035.462.259
412180100;Depósitos a plazo;-97.034.777.453
412180200;Cuentas de ahorro a plazo;-1.973
412180201;Cuentas de ahorro a plazo con giro diferido;-1.973
412180202;Cuentas de ahorro a plazo con giro incondicional;0
412180300;Otros saldos acreedores a plazo;-682.833
412180301;Boletas de garantías pagaderas con 30 días de aviso;0
412180302;Depósitos en cuentas ¿overnight¿;0
412180390;Otros;-682.833
412250000;Obligaciones por pactos de retrocompra y préstamos de valores;-3.220.595.381
412250100;Operaciones con bancos del país;-1.657.997.932
412250101;Contratos de retrocompra con otros bancos;-1.657.997.577
412250102;Contratos de retrocompra con Banco Central de Chile;-355
412250103;Obligaciones por préstamos de valores;0
412250200;Operaciones con bancos del exterior;-553.258.952
412250201;Contratos de retrocompra con otros bancos;-553.258.952
412250202;Contratos de retrocompra con Bancos Centrales del exterior;0
412250203;Obligaciones por préstamos de valores;0
412250300;Operaciones con otras entidades en el país;-1.009.338.497
412250301;Contratos de retrocompra;-1.009.338.497
412250302;Obligaciones por préstamos de valores;0
412250400;Operaciones con otras entidades en el exterior;0
412250401;Contratos de retrocompra;0
412250402;Obligaciones por préstamos de valores;0
412280000;Obligaciones con bancos;-8.596.875.369
412280100;Bancos del país;-127.361.890
412280110;Financiamientos de comercio exterior;0
412280111;Financiamientos para exportaciones chilenas;0
412280112;Financiamientos para importaciones chilenas;0
412280113;Obligaciones por operaciones entre terceros países;0
412280120;Préstamos y otras obligaciones;-127.361.890
412280121;Préstamos interbancarios de liquidez;0
412280122;Préstamos interbancarios comerciales;0
412280123;Sobregiros en cuentas corrientes;0
412280124;Depósitos a plazo no transferibles;-108.210.046
412280129;Otras obligaciones;-19.151.844
412280200;null;-4.710.513.017
412280210;Financiamientos de comercio exterior;0
412280211;Financiamientos para exportaciones chilenas;0
412280212;Financiamientos para importaciones chilenas;0
412280213;Obligaciones por operaciones entre terceros países;0
412280220;Préstamos y otras obligaciones;-4.710.513.017
412280221;Préstamos interbancarios de liquidez;-1.703.428.491
412280222;Préstamos interbancarios comerciales;-2.780.140.257
412280223;Sobregiros en cuentas corrientes;0
412280224;Depósitos a plazo no transferibles;-223.934.151
412280229;Otras obligaciones;-3.010.118
412280300;Banco Central de Chile;-3.759.000.462
412280301;Préstamos y otras obligaciones;-3.759.000.462
412280302;Líneas de crédito por reprogramación de deudas;0
412280400;Bancos Centrales del exterior;0
412280401;Préstamos y otras obligaciones;0
412280402;Líneas de crédito por reprogramación de deudas;0
412350000;Instrumentos financieros de deuda emitidos;-48.132.581.742
412350100;Letras de Créditos;-247.952.927
412350101;Letras de crédito para vivienda;-189.890.768
412350102;Letras de crédito para fines generales;-58.062.159
412350200;Bonos;-47.884.628.815
412350201;Bonos corrientes;-47.884.628.815
412350203;Bonos hipotecarios;0
412380000;Otras obligaciones financieras;-64.645.697
412380100;Obligaciones con el sector público;0
412380101;Financiamientos de CORFO;0
412380102;Obligaciones con otros organismos gubernamentales;0
412380200;Otras obligaciones en el país;-25.895.892
412380201;Adeudado a establecimientos afiliados por el uso de tarjetas de crédito;0
412380202;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas nominativas;0
412380203;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas innominadas;0
412380204;Adeudado a operadores por servicios de operación de tarjetas de crédito;0
412380205;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas;0
412380206;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas;0
412380207;Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos);0
412380208;Obligaciones a favor de exportadores chilenos;0
412380290;Otros créditos obtenidos en el país;-25.895.892
412380300;Obligaciones con el exterior;-38.749.805
412380301;Adeudado a establecimientos afiliados por el uso de tarjetas;0
412380302;Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos);0
412380303;Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos);0
412380304;Obligaciones a favor de exportadores extranjeros;0
412380305;Adeudado a organismos internacionales;-19.170.258
412380306;Otros créditos obtenidos en el exterior;-19.579.547
412450000;OBLIGACIONES POR CONTRATOS DE ARRENDAMIENTO;-798.949.227
412500000;INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS;-10.376.459.753
412500100;Bonos subordinados;-10.376.459.753
412800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS;14.387.471.988
412800100;Utilidad por contratos de derivados financieros para cobertura contable;15.284.887.244
412800200;Pérdida por contratos de derivados financieros para cobertura contable;-897.415.256
412800300;Resultados por ajuste de pasivos financieros cubiertos;0
415000000;INGRESOS POR REAJUSTES DE LA U.F., IVP, IPC;199.309.008.694
415100000;ACTIVOS FINANCIEROS A COSTO AMORTIZADO;242.417.820.013
415150000;Derechos por pactos de retroventa y prestamos de valores;-305.018
415150100;Operaciones con bancos del país;-305.018
415150101;Contratos de retroventa con otros bancos;-305.018
415150102;Contratos de retroventa con Banco Central de Chile;0
415150103;Derechos por préstamos de valores;0
415150200;Operaciones con bancos del exterior;0
