Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

100000000;TOTAL ACTIVOS;3.640.905.303.344;3.412.830.625.291;0;1.103.333.526.195;8.157.069.454.830
105000000;EFECTIVO Y DEPÓSITOS EN BANCOS;124.276.716.054;0;0;316.396.492.416;440.673.208.470
105000100;Efectivo;3.164.482.895;0;0;202.889.415;3.367.372.310
105000101;Efectivo en oficinas;1.584.337.895;0;0;202.889.415;1.787.227.310
105000102;Efectivo en empresas transportadoras de valores;1.580.145.000;0;0;0;1.580.145.000
105000103;Efectivo en custodia en otras entidades financieras;0;0;0;0;0
105000200;Depósitos en el Banco Central de Chile;112.805.711.826;0;0;662.102.354;113.467.814.180
105000201;Depósitos en cuenta corriente;12.005.711.826;0;0;662.102.354;12.667.814.180
105000202;Depósitos overnight;0;0;0;0;0
105000209;Otros depósitos disponibles;100.800.000.000;0;0;0;100.800.000.000
105000300;Depósitos en Bancos Centrales del exterior;0;0;0;107.966.320.000;107.966.320.000
105000301;Depósitos en cuenta corriente;0;0;0;0;0
105000302;Depósitos overnight;0;0;0;107.966.320.000;107.966.320.000
105000309;Otros depósitos disponibles;0;0;0;0;0
105000400;Depósitos en bancos del país;8.306.521.333;0;0;11.474.701.008;19.781.222.341
105000500;Depósitos en bancos del exterior;0;0;0;196.090.479.639;196.090.479.639
107000000;OPERACIONES CON LIQUIDACION EN CURSO;22.721.797.454;0;0;73.486.795.217;96.208.592.671
107000100;Documentos a cargo de otros bancos (canje);2.239.251.260;0;0;3.977.206.137;6.216.457.397
107000101;Canje no deducible;0;0;0;0;0
107000102;Canje de la plaza;2.239.251.260;0;0;3.977.206.137;6.216.457.397
107000103;Canje de otras plazas;0;0;0;0;0
107000200;Transferencias de fondos en curso con una contraparte central;0;0;0;0;0
107000201;Fondos pendientes de transferencia por operaciones en la cámara de swaps;0;0;0;0;0
107000202;Fondos pendientes de transferencia por operaciones en la cámara de forwards;0;0;0;0;0
107000300;Transferencias de fondos en curso a través de una cámara de compensación de alto valor;0;0;0;0;0
107000400;Otras transferencias de fondos en curso con Bancos u Otros;20.482.546.194;0;0;69.509.589.080;89.992.135.274
107000401;Pagos de contrapartes por liquidar - Bancos;20.003.108.108;0;0;0;20.003.108.108
107000409;Divisas pendientes de transferencia - Bancos;0;0;0;69.509.589.080;69.509.589.080
107000411;Pagos de contrapartes por liquidar - Otros;479.438.086;0;0;0;479.438.086
107000419;Divisas pendientes de transferencia - Otros;0;0;0;0;0
110000000;ACTIVOS FINANCIEROS PARA NEGOCIAR A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS;205.892.359.783;16.441.400.946;0;2.295.134;222.336.055.863
111000100;Contratos de derivados financieros;101.233.989.506;19.766.147;0;0;101.253.755.653
111000101;Forwards;36.688.308.172;0;0;0;36.688.308.172
111000102;Swaps;54.152.816.270;19.766.147;0;0;54.172.582.417
111000103;Opciones Call;0;0;0;0;0
111000104;Opciones Put;0;0;0;0;0
111000105;Futuros;0;0;0;0;0
111000109;Otros;10.392.865.064;0;0;0;10.392.865.064
112000000;Instrumentos financieros de deuda;94.367.811.297;16.421.634.799;0;0;110.789.446.096
112000100;Del Estado y Banco Central de Chile;23.471.646.391;12.123.097.198;0;0;35.594.743.589
