
Código Contable;Descripción;Total (suma de todas las monedas)
411450202;Depósitos overnight;128.867.322
411450209;Otros depósitos disponibles;0
411450300;Depósitos en bancos del país;0
411450400;Depósitos en bancos del exterior;55.954.686.478
411450900;Otros intereses ganados;22.862.715.224
411700000;ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL;376.455.624.320
411720000;Instrumentos financieros de deuda;370.023.969.715
411720100;Del Estado y Banco Central de Chile;346.086.519.083
411720101;Instrumentos financieros de deuda del Banco Central de Chile;230.911.541.420
411720102;Bonos y pagarés de la Tesorería General de la República;112.497.453.410
411720109;Otros instrumentos financieros de deuda fiscales;2.677.524.253
411720200;Otros instrumentos financieros de deuda emitidos en el país;4.695.311.349
411720201;Instrumentos financieros de deuda de otros bancos del país;1.797.179.503
411720202;Bonos y efectos de comercio de empresas del país;0
411720209;Otros instrumentos financieros de deuda emitidos en el país;2.898.131.846
411720300;Instrumentos financieros de deuda emitidos en el exterior;19.242.139.283
411720301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411720302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;13.052.053.124
411720303;Instrumentos financieros de deuda de otros bancos en el exterior;57.585.940
411720304;Bonos y efectos de comercio de empresas en el exterior;138.007.645
411720309;Otros instrumentos financieros de deuda emitidos en el exterior;5.994.492.574
411740000;Otros instrumentos financieros;6.431.654.605
411740100;Créditos originados y adquiridos por la entidad;0
411740101;Adeudado por bancos;0
411740102;Colocaciones comerciales;0
411740103;Colocaciones para vivienda;0
411740104;Colocaciones de consumo;0
411740200;Otros;6.431.654.605
411800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS;108.348.031.476
411800100;Utilidad por contratos de derivados financieros para cobertura contable;148.810.918.381
411800200;Pérdida por contratos de derivados financieros para cobertura contable;-54.036.044.423
411800300;Resultados por ajuste de activos financieros cubiertos;13.573.157.518
412000000;GASTOS POR INTERESES;-1.840.474.992.104
412100000;PASIVOS FINANCIEROS A COSTO AMORTIZADO;-1.760.712.514.769
412150000;Depósitos y otras obligaciones a la vista;-123.868.205.163
412150100;Cuentas corrientes;-24.810.958.738
412150101;Cuentas corrientes de bancos del país;0
412150102;Cuentas corrientes de bancos del exterior;-3.291.698.861
412150103;Cuentas corrientes de otras personas jurídicas;-21.518.467.360
412150104;Cuentas corrientes de personas naturales;-792.517
412150200;Cuentas de depósito a la vista;-98.277.754.970
412150201;Cuentas de ahorro a la vista;0
412150202;Cuentas a la vista;-98.277.754.970
412150300;Otros depósitos a la vista;0
412150500;Otras obligaciones a la vista;-779.491.455
412180000;Depósitos y otras captaciones a plazo;-1.190.464.533.445
412180100;Depósitos a plazo;-1.190.447.514.432
412180200;Cuentas de ahorro a plazo;-2.090
412180201;Cuentas de ahorro a plazo con giro diferido;-2.090
412180202;Cuentas de ahorro a plazo con giro incondicional;0
412180300;Otros saldos acreedores a plazo;-17.016.923
412180301;Boletas de garantías pagaderas con 30 días de aviso;0
412180302;Depósitos en cuentas ¿overnight¿;0
412180390;Otros;-17.016.923
412250000;Obligaciones por pactos de retrocompra y préstamos de valores;-41.497.015.186
412250100;Operaciones con bancos del país;-9.962.594.678
412250101;Contratos de retrocompra con otros bancos;-9.960.997.456
