Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

1000000;ACTIVOS;7.034.026;4.996.940;83.328;1.923.784;14.038.078
1100000;EFECTIVO Y DEPOSITOS EN BANCOS;232.261;0;0;238.029;470.290
1100100;Efectivo;197.482;0;0;11.607;209.089
1100200;Depósitos en el Banco Central de Chile;29.445;0;0;67.213;96.658
1100300;Depósitos en bancos del país;5.334;0;0;0;5.334
1100400;Depósitos en el exterior;0;0;0;159.209;159.209
1130000;OPERACIONES CON LIQUIDACION EN CURSO;332.599;0;0;151.319;483.918
1130100;Documentos a cargo de otros bancos (canje);48.233;0;0;6.777;55.010
1130200;Transferencias de fondos en curso;284.366;0;0;144.542;428.908
1150000;INSTRUMENTOS PARA NEGOCIACIÓN;628.796;58.648;0;0;687.444
1150100;Del Estado y Banco Central de Chile;242.798;38.190;0;0;280.988
1150200;Otros instrumentos emitidos en el país;385.984;20.458;0;0;406.442
1150300;Instrumentos emitidos en el exterior;0;0;0;0;0
1150400;Inversiones en Fondos Mutuos;14;0;0;0;14
1160000;CONTRATOS DE RETROCOMPRA Y PRÉSTAMOS DE VALORES;9.060;0;0;0;9.060
1160100;Operaciones con bancos del país;0;0;0;0;0
1160200;Operaciones con otras entidades;9.060;0;0;0;9.060
1250000;CONTRATOS DE DERIVADOS FINANCIEROS;1.443.876;0;0;0;1.443.876
1250100;Contratos de negociación;1.432.532;0;0;0;1.432.532
1250200;Contratos para cobertura contable;11.344;0;0;0;11.344
1270000;ADEUDADO POR BANCOS;0;0;0;30.047;30.047
1270100;Banco del país;0;0;0;0;0
1270112;Préstamos interbancarios de liquidez;0;0;0;0;0
1270113;Préstamos interbancarios comerciales;0;0;0;0;0
1270116;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270117;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270118;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270190;Provisiones para créditos con bancos del país;0;0;0;0;0
1270200;Bancos del exterior;0;0;0;30.047;30.047
1270202;Préstamos interbancarios de liquidez;0;0;0;0;0
1270203;Préstamos interbancarios comerciales;0;0;0;0;0
1270206;Créditos comercio exterior exportaciones chilenas;0;0;0;30.097;30.097
1270207;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270208;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270290;Provisiones para créditos con bancos del exterior;0;0;0;-50;-50
1270300;Banco Central de Chile;0;0;0;0;0
1300000;CRÉDITOS Y CUENTAS POR COBRAR A CLIENTES;3.074.576;4.893.580;83.133;1.372.733;9.424.022
1302000;COLOCACIONES COMERCIALES;2.082.881;1.231.732;83.133;1.366.727;4.764.473
1302100;Préstamos comerciales;1.683.028;951.376;0;767.215;3.401.619
1302101;Préstamos en el país;1.683.028;947.291;0;739.681;3.370.000
1302102;Préstamos en el exterior;0;0;0;27.534;27.534
1302170;Préstamos con letras de crédito para fines generales;0;3.155;0;0;3.155
1302180;Préstamos con mutuos hipotecarios endosables;0;930;0;0;930
1302200;Créditos de comercio exterior;70.286;17.102;18;570.323;657.729
1302201;Acreditivos negociados a plazo de exportaciones chilenas;0;0;0;0;0
1302202;Otros créditos para exportaciones chilenas;70.286;17.102;0;365.202;452.590
1302241;Acreditivos negociados a plazo de importaciones chilenas;0;0;18;10.502;10.520
1302242;Otros créditos para importaciones chilenas;0;0;0;194.619;194.619
1302281;Acreditivos negociados a plazo de operaciones entre terceros países;0;0;0;0;0
1302282;Otros créditos para operaciones entre terceros países;0;0;0;0;0
1302300;Deudores en cuentas corrientes;65.385;0;0;0;65.385
1302500;Operaciones de factoraje;131.646;28.578;0;28.972;189.196
1302600;Préstamos estudiantiles;0;9.873;0;0;9.873
1302601;Créditos para estudios superiores Ley N° 20.027;0;0;0;0;0
1302602;Créditos con garantía CORFO;0;1.615;0;0;1.615
1302604;Otros créditos para estudios superiores;0;8.258;0;0;8.258
1302800;Operaciones de leasing comercial;129.752;224.529;82.676;0;436.957
1302900;Otros créditos y cuentas por cobrar;2.784;274;439;217;3.714
1304000;COLOCACIONES PARA VIVIENDA;41.129;3.605.588;0;0;3.646.717
1304100;Préstamos con letras de crédito;0;6.763;0;0;6.763
1304101;Con letras de crédito para vivienda;0;6.763;0;0;6.763
1304102;Con letras de crédito para fines generales;0;0;0;0;0
1304200;Préstamos con mutuos hipotecarios endosable;0;13.342;0;0;13.342
1304400;Prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
1304500;Otros créditos con mutuos para vivienda;1.223;3.585.443;0;0;3.586.666
1304600;Créditos provenientes de la ANAP;0;0;0;0;0
1304800;Operaciones de leasing para vivienda;39.572;0;0;0;39.572
1304900;Otros créditos y cuentas por cobrar;334;40;0;0;374
1305000;COLOCACIONES DE CONSUMO;1.091.640;56.260;0;6.006;1.153.906
1305100;Créditos de consumo en cuotas;783.078;56.177;0;0;839.255
1305300;Deudores en cuentas corrientes;66.559;0;0;0;66.559
1305400;Deudores por tarjetas de crédito;241.379;0;0;6.006;247.385
1305800;Operaciones de leasing de consumo;598;83;0;0;681
1305900;Otros créditos y cuentas por cobrar;26;0;0;0;26
1309000;PROVISIONES CONSTITUIDAS;-141.074;0;0;0;-141.074
1309100;Provisiones colocaciones comerciales;-64.447;0;0;0;-64.447
1309200;Provisiones colocaciones para vivienda;-20.075;0;0;0;-20.075
1309300;Provisiones colocaciones de consumo;-56.552;0;0;0;-56.552
1350000;INSTRUMENTOS DE INVERSIÓN DISPONIBLES PARA LA VENTA;828.528;37.581;0;16.098;882.207
1350100;Del Estado y Banco Central de Chile;679.034;27.258;0;16.098;722.390
1350200;Otros instrumentos emitidos en el país;149.494;10.323;0;0;159.817
1350300;Instrumentos emitidos en el exterior;0;0;0;0;0
1360000;INSTRUMENTOS DE INVERSIÓN HASTA EL VENCIMIENTO;5.733;3.591;0;0;9.324
1360100;Del Estado y Banco Central de Chile;0;0;0;0;0
1360200;Otros instrumentos emitidos en el país;5.733;3.591;0;0;9.324
1360300;Instrumentos emitidos en el exterior;0;0;0;0;0
1400000;INVERSIONES EN SOCIEDADES;8.005;529;0;8;8.542
1400100;Inversiones a valor patrimonial;5.648;0;0;0;5.648
1400101;Sucursales en el exterior;0;0;0;0;0
1400103;Sociedades con influencia significativa;5.648;0;0;0;5.648
1400200;Acciones o derechos en otras sociedades;2.357;529;0;8;2.894
1500000;INTANGIBLES;32.185;26;0;0;32.211
1500100;Menor valor de inversiones (Goodwill);0;0;0;0;0
1500200;Otros activos intangibles;32.185;26;0;0;32.211
1600000;ACTIVO FIJO;70.089;137;0;0;70.226
1600100;Edificios y terrenos;51.209;0;0;0;51.209
1600200;Otros activos fijos;18.880;137;0;0;19.017
1700000;IMPUESTOS CORRIENTES;0;0;0;0;0
1750000;IMPUESTOS DIFERIDOS;251.262;0;0;0;251.262
1800000;OTROS ACTIVOS;117.056;2.848;195;115.550;235.649
1800100;Activos para leasing;9.240;0;195;0;9.435
1800200;Bienes recibidos en pago o adjudicados;10.022;0;0;0;10.022
1800900;Otros activos;97.794;2.848;0;115.550;216.192
2000000;PASIVOS;7.641.066;3.574.988;104;1.953.393;13.169.551
2100000;DEPOSITOS Y OTRAS OBLIGACIONES A LA VISTA;1.336.451;107.994;95;218.464;1.663.004
2100100;Cuentas corrientes;1.047.437;0;0;201.912;1.249.349
2100109;Cuentas corrientes de otras personas jurídicas;691.451;0;0;194.173;885.624
2100110;Cuentas corrientes de personas naturales;355.115;0;0;7.739;362.854
2100200;Otros depósitos y cuentas a la vista;159.139;0;0;0;159.139
2100300;Otras obligaciones a la vista;129.875;107.994;95;16.552;254.516
2130000;OPERACIONES CON LIQUIDACION EN CURSO;251.487;0;0;235.956;487.443
2160000;CONTRATOS DE RETROCOMPRA Y PRÉSTAMOS DE VALORES;440.300;0;0;69.912;510.212
2160100;Operaciones con bancos del país;0;0;0;0;0
2160200;Operaciones con otras entidades;440.300;0;0;69.912;510.212
2200000;DEPOSITOS Y OTRAS CAPTACIONES A PLAZO;3.585.786;554.194;9;742.577;4.882.566
2200100;Depósitos a plazo;3.585.628;509.846;9;742.577;4.838.060
