
Código Contable;Descripción;Total (suma de todas las monedas)
411250205;Créditos comercio exterior importaciones chilenas;0
411250206;Créditos comercio exterior entre terceros países;0
411250207;Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados;0
411250208;Otros depósitos no transferibles en bancos del exterior;0
411250290;Otras acreencias con bancos del exterior;0
411250300;Banco Central de Chile;0
411250301;Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con COMDER;0
411250302;Otros depósitos en el Banco Central de Chile no disponibles;0
411250309;Otras acreencias con el Banco Central de Chile;0
411250400;Bancos Centrales del exterior;0
411250401;Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados;0
411250402;Otros depósitos en Bancos Centrales del exterior no disponibles;0
411250409;Otras acreencias con Bancos Centrales del exterior;0
411280000;Colocaciones comerciales;92.835.465.727
411280100;Préstamos comerciales;72.796.727.674
411280101;Préstamos en el país;69.985.822.825
411280102;Préstamos en el exterior;14.354.123
411280103;Créditos para infraestructura escolar Ley N° 20.845;0
411280104;Préstamos con letras de crédito para fines generales;0
411280105;Préstamos con mutuos hipotecarios endosables para fines generales;2.535.457.558
411280106;Préstamos con mutuos hipotecarios no endosables para fines generales;261.093.168
411280200;Créditos de comercio exterior;7.958.531.021
411280201;Acreditivos negociados a plazo de exportaciones chilenas;0
411280202;Otros créditos para exportaciones chilenas;4.413.603.933
411280203;Acreditivos negociados a plazo de importaciones chilenas;0
411280204;Otros créditos para importaciones chilenas;3.544.927.088
411280205;Acreditivos negociados a plazo de operaciones entre terceros países;0
411280209;Otros créditos para operaciones entre terceros países;0
411280300;Deudores en cuentas corrientes;137.046.721
411280400;Deudores por tarjetas de crédito;0
411280500;Operaciones de factoraje;6.053.629.526
411280501;Factoring con responsabilidad;3.837.808.311
411280502;Factoring sin responsabilidad;2.215.821.215
411280600;Operaciones de leasing financiero comercial;5.889.530.785
411280601;Leasing por bienes inmobiliarios;467.408.291
411280602;Leasing por bienes no inmobiliarios;5.422.122.494
411280700;Préstamos estudiantiles;0
411280701;Créditos para estudios superiores Ley N° 20.027;0
411280702;Créditos con garantía CORFO;0
411280709;Otros créditos para estudios superiores;0
411280900;Otros créditos y cuentas por cobrar;0
411280901;Deudores por pago de obligaciones avaladas;0
411280902;Deudores por boletas de garantía pagadas;0
411280990;Otras cuentas por cobrar;0
411350000;Colocaciones para vivienda;29.221.465.508
411350100;Préstamos con letras de crédito para vivienda;0
411350200;Préstamos con mutuos hipotecarios endosable;24.773.973.614
411350300;Préstamos con mutuos financiados con bonos hipotecarios;0
411350400;Otros créditos con mutuos para vivienda;3.216.225.869
411350401;Otros créditos con mutuos no endosables para vivienda;3.216.225.869
411350402;Otros créditos con mutuos para vivienda;0
411350500;Operaciones de leasing financiero para vivienda;766.041.712
411350900;Otros créditos y cuentas por cobrar;465.224.313
411350901;Créditos complementarios a los mutuos;465.224.313
411350902;Créditos de enlace;0
411350903;Créditos provenientes de la ANAP;0
411350990;Cuentas por cobrar a deudores para vivienda;0
411380000;Colocaciones de consumo;10.196.155.605
411380100;Créditos de consumo en cuotas;9.002.754.952
411380200;Deudores en cuentas corrientes;835.600.489
411380300;Deudores por tarjetas de crédito;357.800.164
411380400;Operaciones de leasing financiero de consumo;0
411380900;Otros créditos y cuentas por cobrar;0
411380901;Créditos de consumo rotativos;0
411380990;Cuentas por cobrar a deudores de consumo;0
411450000;Otros instrumentos financieros;1.979.482.812
411450100;Depósitos en el Banco Central de Chile;141.048.611
411450101;Depósitos en cuenta corriente;0
411450102;Depósitos overnight;0
411450109;Otros depósitos disponibles;141.048.611
411450200;Depósitos en Bancos Centrales del exterior;0
411450201;Depósitos en cuenta corriente;0
411450202;Depósitos overnight;0
411450209;Otros depósitos disponibles;0
411450300;Depósitos en bancos del país;0
411450400;Depósitos en bancos del exterior;925.167.278
411450900;Otros intereses ganados;913.266.923
411700000;ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL;65.596.757.269
411720000;Instrumentos financieros de deuda;65.596.757.269
411720100;Del Estado y Banco Central de Chile;46.918.199.127
411720101;Instrumentos financieros de deuda del Banco Central de Chile;1.348.790.355
411720102;Bonos y pagarés de la Tesorería General de la República;45.569.408.772
411720109;Otros instrumentos financieros de deuda fiscales;0
411720200;Otros instrumentos financieros de deuda emitidos en el país;10.473.248.948
411720201;Instrumentos financieros de deuda de otros bancos del país;5.379.846.399
411720202;Bonos y efectos de comercio de empresas del país;5.093.402.549
411720209;Otros instrumentos financieros de deuda emitidos en el país;0
411720300;Instrumentos financieros de deuda emitidos en el exterior;8.205.309.194
411720301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411720302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;325.100.973
411720303;Instrumentos financieros de deuda de otros bancos en el exterior;955.470.180
411720304;Bonos y efectos de comercio de empresas en el exterior;0
411720309;Otros instrumentos financieros de deuda emitidos en el exterior;6.924.738.041
411740000;Otros instrumentos financieros;0
411740100;Créditos originados y adquiridos por la entidad;0
411740101;Adeudado por bancos;0
411740102;Colocaciones comerciales;0
