Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
1500000;INTANGIBLES;2.428;0;0;0;2.428
1500100;Menor valor de inversiones (Goodwill);0;0;0;0;0
1500200;Otros activos intangibles;2.428;0;0;0;2.428
1600000;ACTIVO FIJO;26.675;0;0;0;26.675
1600100;Edificios y terrenos;21.203;0;0;0;21.203
1600200;Otros activos fijos;5.472;0;0;0;5.472
1700000;IMPUESTOS CORRIENTES;8.750;0;0;0;8.750
1750000;IMPUESTOS DIFERIDOS;40.999;0;0;0;40.999
1800000;OTROS ACTIVOS;64.820;1;0;14.255;79.076
1800100;Activos para leasing;21.896;0;0;391;22.287
1800200;Bienes recibidos en pago o adjudicados;58;0;0;0;58
1800900;Otros activos;42.866;1;0;13.864;56.731
2000000;PASIVOS;3.107.361;1.664.814;61.375;790.793;5.624.343
2100000;DEPOSITOS Y OTRAS OBLIGACIONES A LA VISTA;644.017;6.286;0;258.301;908.604
2100100;Cuentas corrientes;553.465;0;0;242.925;796.390
2100109;Cuentas corrientes de otras personas jurídicas;398.081;0;0;193.039;591.120
2100110;Cuentas corrientes de personas naturales;155.384;0;0;49.886;205.270
2100200;Otros depósitos y cuentas a la vista;53.509;0;0;0;53.509
2100300;Otras obligaciones a la vista;37.043;6.286;0;15.376;58.705
2130000;OPERACIONES CON LIQUIDACION EN CURSO;68.992;0;0;15.175;84.167
2160000;CONTRATOS DE RETROCOMPRA Y PRÉSTAMOS DE VALORES;95.759;0;0;0;95.759
2160100;Operaciones con bancos del país;85.106;0;0;0;85.106
2160200;Operaciones con otras entidades;10.653;0;0;0;10.653
2200000;DEPOSITOS Y OTRAS CAPTACIONES A PLAZO;2.077.229;722.702;0;256.115;3.056.046
2200100;Depósitos a plazo;2.077.229;719.648;0;256.115;3.052.992
2200200;Cuentas de ahorro a plazo;0;3.054;0;0;3.054
2200900;Otros saldos acreedores a plazo;0;0;0;0;0
