Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

1000000;ACTIVOS;3.645.999;2.694.691;121.173;942.710;7.404.573
1100000;EFECTIVO Y DEPOSITOS EN BANCOS;250.637;0;0;50.167;300.804
1100100;Efectivo;14.652;0;0;8.497;23.149
1100200;Depósitos en el Banco Central de Chile;234.673;0;0;18.753;253.426
1100300;Depósitos en bancos del país;1.312;0;0;559;1.871
1100400;Depósitos en el exterior;0;0;0;22.358;22.358
1130000;OPERACIONES CON LIQUIDACION EN CURSO;60.143;0;0;24.551;84.694
1130100;Documentos a cargo de otros bancos (canje);29.929;0;0;14.476;44.405
1130200;Transferencias de fondos en curso;30.214;0;0;10.075;40.289
1150000;INSTRUMENTOS PARA NEGOCIACIÓN;356.078;51.676;0;0;407.754
1150100;Del Estado y Banco Central de Chile;109.565;47.707;0;0;157.272
1150200;Otros instrumentos emitidos en el país;215.806;3.969;0;0;219.775
1150300;Instrumentos emitidos en el exterior;0;0;0;0;0
1150400;Inversiones en Fondos Mutuos;30.707;0;0;0;30.707
1160000;CONTRATOS DE RETROCOMPRA Y PRÉSTAMOS DE VALORES;7.904;0;0;0;7.904
1160100;Operaciones con bancos del país;0;0;0;0;0
1160200;Operaciones con otras entidades;7.904;0;0;0;7.904
1250000;CONTRATOS DE DERIVADOS FINANCIEROS;60.431;0;0;7.140;67.571
1250100;Contratos de negociación;60.396;0;0;7.140;67.536
1250200;Contratos para cobertura contable;35;0;0;0;35
1270000;ADEUDADO POR BANCOS;0;0;0;0;0
1270100;Banco del país;0;0;0;0;0
1270112;Préstamos interbancarios de liquidez;0;0;0;0;0
1270113;Préstamos interbancarios comerciales;0;0;0;0;0
1270116;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270117;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270118;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270190;Provisiones para créditos con bancos del país;0;0;0;0;0
1270200;Bancos del exterior;0;0;0;0;0
1270202;Préstamos interbancarios de liquidez;0;0;0;0;0
1270203;Préstamos interbancarios comerciales;0;0;0;0;0
1270206;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270207;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270208;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270290;Provisiones para créditos con bancos del exterior;0;0;0;0;0
1270300;Banco Central de Chile;0;0;0;0;0
1300000;CRÉDITOS Y CUENTAS POR COBRAR A CLIENTES;1.855.446;2.643.014;121.173;823.736;5.443.369
1302000;COLOCACIONES COMERCIALES;1.778.000;1.644.831;121.173;820.815;4.364.819
1302100;Préstamos comerciales;1.544.965;1.293.710;85.123;515.124;3.438.922
1302101;Préstamos en el país;1.544.965;1.210.557;85.123;515.124;3.355.769
1302102;Préstamos en el exterior;0;0;0;0;0
1302170;Préstamos con letras de crédito para fines generales;0;519;0;0;519
1302180;Préstamos con mutuos hipotecarios endosables;0;82.634;0;0;82.634
1302200;Créditos de comercio exterior;19.308;0;11;297.800;317.119
1302201;Acreditivos negociados a plazo de exportaciones chilenas;0;0;0;0;0
1302202;Otros créditos para exportaciones chilenas;19.308;0;0;151.542;170.850
1302241;Acreditivos negociados a plazo de importaciones chilenas;0;0;11;6.523;6.534
1302242;Otros créditos para importaciones chilenas;0;0;0;122.901;122.901
1302281;Acreditivos negociados a plazo de operaciones entre terceros países;0;0;0;210;210
1302282;Otros créditos para operaciones entre terceros países;0;0;0;16.624;16.624
1302300;Deudores en cuentas corrientes;39.270;0;0;1.410;40.680
1302500;Operaciones de factoraje;85.397;917;0;6.143;92.457
1302600;Préstamos estudiantiles;0;312;0;0;312
1302601;Créditos para estudios superiores Ley N° 20.027;0;0;0;0;0
1302602;Créditos con garantía CORFO;0;264;0;0;264
1302604;Otros créditos para estudios superiores;0;48;0;0;48
1302800;Operaciones de leasing comercial;85.448;349.885;36.008;0;471.341
1302900;Otros créditos y cuentas por cobrar;3.612;7;31;338;3.988
1304000;COLOCACIONES PARA VIVIENDA;9;994.325;0;0;994.334
1304100;Préstamos con letras de crédito;0;957;0;0;957
1304101;Con letras de crédito para vivienda;0;957;0;0;957
1304102;Con letras de crédito para fines generales;0;0;0;0;0
1304200;Préstamos con mutuos hipotecarios endosable;0;516.642;0;0;516.642
1304400;Prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
1304500;Otros créditos con mutuos para vivienda;0;476.715;0;0;476.715
1304600;Créditos provenientes de la ANAP;0;0;0;0;0
1304800;Operaciones de leasing para vivienda;0;0;0;0;0
1304900;Otros créditos y cuentas por cobrar;9;11;0;0;20
1305000;COLOCACIONES DE CONSUMO;144.838;3.858;0;2.921;151.617
1305100;Créditos de consumo en cuotas;92.484;3.858;0;0;96.342
1305300;Deudores en cuentas corrientes;12.707;0;0;0;12.707
1305400;Deudores por tarjetas de crédito;39.647;0;0;2.921;42.568
1305800;Operaciones de leasing de consumo;0;0;0;0;0
1305900;Otros créditos y cuentas por cobrar;0;0;0;0;0
1309000;PROVISIONES CONSTITUIDAS;-67.401;0;0;0;-67.401
1309100;Provisiones colocaciones comerciales;-63.865;0;0;0;-63.865
1309200;Provisiones colocaciones para vivienda;-1.221;0;0;0;-1.221
1309300;Provisiones colocaciones de consumo;-2.315;0;0;0;-2.315
1350000;INSTRUMENTOS DE INVERSIÓN DISPONIBLES PARA LA VENTA;860.370;0;0;26.308;886.678
1350100;Del Estado y Banco Central de Chile;688.965;0;0;10.707;699.672
1350200;Otros instrumentos emitidos en el país;171.141;0;0;0;171.141
1350300;Instrumentos emitidos en el exterior;264;0;0;15.601;15.865
1360000;INSTRUMENTOS DE INVERSIÓN HASTA EL VENCIMIENTO;0;0;0;0;0
1360100;Del Estado y Banco Central de Chile;0;0;0;0;0
1360200;Otros instrumentos emitidos en el país;0;0;0;0;0
