Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

100000000;TOTAL ACTIVOS;4.837.561.168.814;4.991.077.932.610;89.919.834.591;1.805.491.593.657;11.724.050.529.672
105000000;EFECTIVO Y DEPÓSITOS EN BANCOS;207.406.851.860;0;0;332.121.995.868;539.528.847.728
105000100;Efectivo;9.899.881.730;0;0;6.532.379.345;16.432.261.075
105000101;Efectivo en oficinas;9.899.881.730;0;0;6.532.379.345;16.432.261.075
105000102;Efectivo en empresas transportadoras de valores;0;0;0;0;0
105000103;Efectivo en custodia en otras entidades financieras;0;0;0;0;0
105000200;Depósitos en el Banco Central de Chile;158.293.692.594;0;0;177.009.534.944;335.303.227.538
105000201;Depósitos en cuenta corriente;158.293.692.594;0;0;177.009.534.944;335.303.227.538
105000202;Depósitos overnight;0;0;0;0;0
105000209;Otros depósitos disponibles;0;0;0;0;0
105000300;Depósitos en Bancos Centrales del exterior;0;0;0;0;0
105000301;Depósitos en cuenta corriente;0;0;0;0;0
105000302;Depósitos overnight;0;0;0;0;0
105000309;Otros depósitos disponibles;0;0;0;0;0
105000400;Depósitos en bancos del país;39.211.902.536;0;0;690.789.845;39.902.692.381
105000500;Depósitos en bancos del exterior;1.375.000;0;0;147.889.291.734;147.890.666.734
107000000;OPERACIONES CON LIQUIDACION EN CURSO;66.515.488.797;0;0;50.890.322.269;117.405.811.066
107000100;Documentos a cargo de otros bancos (canje);8.851.067.905;0;0;1.052.538.546;9.903.606.451
107000101;Canje no deducible;0;0;0;0;0
107000102;Canje de la plaza;8.850.574.905;0;0;905.018.137;9.755.593.042
107000103;Canje de otras plazas;493.000;0;0;147.520.409;148.013.409
107000200;Transferencias de fondos en curso con una contraparte central;0;0;0;0;0
107000201;Fondos pendientes de transferencia por operaciones en la cámara de swaps;0;0;0;0;0
107000202;Fondos pendientes de transferencia por operaciones en la cámara de forwards;0;0;0;0;0
107000300;Transferencias de fondos en curso a través de una cámara de compensación de alto valor;0;0;0;0;0
107000400;Otras transferencias de fondos en curso con Bancos u Otros;57.664.420.892;0;0;49.837.783.723;107.502.204.615
107000401;Pagos de contrapartes por liquidar - Bancos;37.141.427.500;0;0;0;37.141.427.500
107000409;Divisas pendientes de transferencia - Bancos;0;0;0;42.908.439.914;42.908.439.914
