Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

100000000;TOTAL ACTIVOS;4.531.500.367.760;4.959.619.999.549;92.972.416.451;1.706.237.100.570;11.290.329.884.330
105000000;EFECTIVO Y DEPÓSITOS EN BANCOS;263.949.628.632;0;0;158.356.289.668;422.305.918.300
105000100;Efectivo;11.069.824.061;0;0;5.893.077.470;16.962.901.531
105000101;Efectivo en oficinas;10.788.264.061;0;0;5.813.708.670;16.601.972.731
105000102;Efectivo en empresas transportadoras de valores;281.560.000;0;0;79.368.800;360.928.800
105000103;Efectivo en custodia en otras entidades financieras;0;0;0;0;0
105000200;Depósitos en el Banco Central de Chile;243.615.017.844;0;0;27.947.637.591;271.562.655.435
105000201;Depósitos en cuenta corriente;12.800.017.844;0;0;27.947.637.591;40.747.655.435
105000202;Depósitos overnight;0;0;0;0;0
105000209;Otros depósitos disponibles;230.815.000.000;0;0;0;230.815.000.000
105000300;Depósitos en Bancos Centrales del exterior;0;0;0;0;0
105000301;Depósitos en cuenta corriente;0;0;0;0;0
105000302;Depósitos overnight;0;0;0;0;0
105000309;Otros depósitos disponibles;0;0;0;0;0
105000400;Depósitos en bancos del país;9.258.499.227;0;0;1.137.658.542;10.396.157.769
105000500;Depósitos en bancos del exterior;6.287.500;0;0;123.377.916.065;123.384.203.565
107000000;OPERACIONES CON LIQUIDACION EN CURSO;49.438.089.220;0;0;63.722.962.764;113.161.051.984
107000100;Documentos a cargo de otros bancos (canje);12.563.042.121;0;0;818.830.856;13.381.872.977
107000101;Canje no deducible;0;0;0;0;0
107000102;Canje de la plaza;12.563.042.121;0;0;816.545.790;13.379.587.911
107000103;Canje de otras plazas;0;0;0;2.285.066;2.285.066
107000200;Transferencias de fondos en curso con una contraparte central;0;0;0;0;0
107000201;Fondos pendientes de transferencia por operaciones en la cámara de swaps;0;0;0;0;0
107000202;Fondos pendientes de transferencia por operaciones en la cámara de forwards;0;0;0;0;0
107000300;Transferencias de fondos en curso a través de una cámara de compensación de alto valor;0;0;0;0;0
107000400;Otras transferencias de fondos en curso con Bancos u Otros;36.875.047.099;0;0;62.904.131.908;99.779.179.007
107000401;Pagos de contrapartes por liquidar - Bancos;29.861.366.200;0;0;0;29.861.366.200
107000409;Divisas pendientes de transferencia - Bancos;0;0;0;27.391.714.054;27.391.714.054
107000411;Pagos de contrapartes por liquidar - Otros;7.013.680.899;0;0;0;7.013.680.899
107000419;Divisas pendientes de transferencia - Otros;0;0;0;35.512.417.854;35.512.417.854
