Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

1000000;ACTIVOS;15.490.494;13.234.925;84.731;3.132.993;31.943.143
1100000;EFECTIVO Y DEPOSITOS EN BANCOS;900.537;0;0;299.744;1.200.281
1100100;Efectivo;584.275;0;0;40.110;624.385
1100200;Depósitos en el Banco Central de Chile;314.254;0;0;42.144;356.398
1100300;Depósitos en bancos del país;2.008;0;0;4.693;6.701
1100400;Depósitos en el exterior;0;0;0;212.797;212.797
1130000;OPERACIONES CON LIQUIDACION EN CURSO;332.681;0;0;187.152;519.833
1130100;Documentos a cargo de otros bancos (canje);147.782;0;0;23.955;171.737
1130200;Transferencias de fondos en curso;184.899;0;0;163.197;348.096
1150000;INSTRUMENTOS PARA NEGOCIACIÓN;930.260;253.691;0;580;1.184.531
1150100;Del Estado y Banco Central de Chile;640.436;238.248;0;0;878.684
1150200;Otros instrumentos emitidos en el país;272.193;15.443;0;0;287.636
1150300;Instrumentos emitidos en el exterior;0;0;0;265;265
1150400;Inversiones en Fondos Mutuos;17.631;0;0;315;17.946
1160000;CONTRATOS DE RETROCOMPRA Y PRÉSTAMOS DE VALORES;65.761;0;0;0;65.761
1160100;Operaciones con bancos del país;0;0;0;0;0
1160200;Operaciones con otras entidades;65.761;0;0;0;65.761
1250000;CONTRATOS DE DERIVADOS FINANCIEROS;1.013.465;0;0;74.092;1.087.557
1250100;Contratos de negociación;971.882;0;0;73.942;1.045.824
1250200;Contratos para cobertura contable;41.583;0;0;150;41.733
1270000;ADEUDADO POR BANCOS;299.884;0;0;292.883;592.767
1270100;Banco del país;0;0;0;0;0
1270112;Préstamos interbancarios de liquidez;0;0;0;0;0
1270113;Préstamos interbancarios comerciales;0;0;0;0;0
1270116;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270117;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270118;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270190;Provisiones para créditos con bancos del país;0;0;0;0;0
1270200;Bancos del exterior;-586;0;0;292.883;292.297
1270202;Préstamos interbancarios de liquidez;0;0;0;0;0
1270203;Préstamos interbancarios comerciales;0;0;0;215.923;215.923
1270206;Créditos comercio exterior exportaciones chilenas;0;0;0;13.884;13.884
1270207;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270208;Créditos comercio exterior entre terceros países;0;0;0;63.076;63.076
1270290;Provisiones para créditos con bancos del exterior;-586;0;0;0;-586
1270300;Banco Central de Chile;300.470;0;0;0;300.470
1300000;CRÉDITOS Y CUENTAS POR COBRAR A CLIENTES;10.094.482;12.711.739;84.731;1.992.605;24.883.557
1302000;COLOCACIONES COMERCIALES;6.810.937;5.301.034;84.731;1.952.304;14.149.006
1302100;Préstamos comerciales;5.526.663;4.368.364;1.127;886.797;10.782.951
1302101;Préstamos en el país;5.526.663;4.355.873;1.127;810.748;10.694.411
1302102;Préstamos en el exterior;0;0;0;76.049;76.049
1302170;Préstamos con letras de crédito para fines generales;0;6.797;0;0;6.797
1302180;Préstamos con mutuos hipotecarios endosables;0;5.694;0;0;5.694
1302200;Créditos de comercio exterior;129.997;21.933;22;963.065;1.115.017
1302201;Acreditivos negociados a plazo de exportaciones chilenas;0;0;0;0;0
1302202;Otros créditos para exportaciones chilenas;125.129;20.684;0;583.841;729.654
1302241;Acreditivos negociados a plazo de importaciones chilenas;4.868;0;0;0;4.868
