
Código Contable;Descripción;Total (suma de todas las monedas)
 
411000000;INGRESOS POR INTERESES;2.159.348.816.363
411100000;ACTIVOS FINANCIEROS A COSTO AMORTIZADO;1.783.514.693.138
411150000;Derechos por pactos de retroventa y prestamos de valores;12.222.107.322
411150100;Operaciones con bancos del país;0
411150101;Contratos de retroventa con otros bancos;0
411150102;Contratos de retroventa con Banco Central de Chile;0
411150103;Derechos por préstamos de valores;0
411150200;Operaciones con bancos del exterior;4.969.565.765
411150201;Contratos de retroventa con otros bancos;298.211.422
411150202;Contratos de retroventa con Bancos Centrales del exterior;4.671.354.343
411150203;Derechos por préstamos de valores;0
411150300;Operaciones con otras entidades en el país;5.486.372.912
411150301;Contratos de retroventa;5.486.372.912
411150302;Derechos por préstamos de valores;0
411150400;Operaciones con otras entidades en el exterior;1.766.168.645
411150401;Contratos de retroventa;1.766.168.645
411150402;Derechos por préstamos de valores;0
411200000;Instrumentos financieros de deuda;31.762.245.688
411200100;Del Estado y Banco Central de Chile;969.771.326
411200101;Instrumentos financieros de deuda del Banco Central de Chile;0
411200102;Bonos y pagarés de la Tesorería General de la República;969.771.326
411200109;Otros instrumentos financieros de deuda fiscales;0
411200200;Otros instrumentos financieros de deuda emitidos en el país;0
411200201;Instrumentos financieros de deuda de otros bancos del país;0
411200202;Bonos y efectos de comercio de empresas del país;0
411200209;Otros instrumentos financieros de deuda emitidos en el país;0
411200300;Instrumentos financieros de deuda emitidos en el exterior;30.792.474.362
411200301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411200302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;0
411200303;Instrumentos financieros de deuda de otros bancos en el exterior;1.735.769.854
411200304;Bonos y efectos de comercio de empresas en el exterior;0
411200309;Otros instrumentos financieros de deuda emitidos en el exterior;29.056.704.508
411250000;Adeudado por bancos;2.503.606.948
411250100;Bancos del país;32.916.666
411250101;Préstamos interbancarios de liquidez;32.916.666
411250102;Préstamos interbancarios comerciales;0
411250103;Sobregiros en cuentas corrientes;0
411250104;Créditos comercio exterior exportaciones chilenas;0
411250105;Créditos comercio exterior importaciones chilenas;0
411250106;Créditos comercio exterior entre terceros países;0
411250107;Depósitos no transferibles en bancos del país;0
411250190;Otras acreencias con bancos del país;0
411250200;Bancos del exterior;2.470.690.282
411250201;Préstamos interbancarios de liquidez;2.422.009.282
411250202;Préstamos interbancarios comerciales;0
411250203;Sobregiros en cuentas corrientes;0
411250204;Créditos comercio exterior exportaciones chilenas;0
411250205;Créditos comercio exterior importaciones chilenas;0
