
Código Contable;Descripción;Total (suma de todas las monedas)
411450209;Otros depósitos disponibles;0
411450300;Depósitos en bancos del país;0
411450400;Depósitos en bancos del exterior;8.145.724.011
411450900;Otros intereses ganados;14.163.323.802
411700000;ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL;72.264.739.437
411720000;Instrumentos financieros de deuda;69.673.370.839
411720100;Del Estado y Banco Central de Chile;57.363.756.826
411720101;Instrumentos financieros de deuda del Banco Central de Chile;8.202.731.771
411720102;Bonos y pagarés de la Tesorería General de la República;45.773.757.299
411720109;Otros instrumentos financieros de deuda fiscales;3.387.267.756
411720200;Otros instrumentos financieros de deuda emitidos en el país;703.775.026
411720201;Instrumentos financieros de deuda de otros bancos del país;97.746.476
411720202;Bonos y efectos de comercio de empresas del país;0
411720209;Otros instrumentos financieros de deuda emitidos en el país;606.028.550
411720300;Instrumentos financieros de deuda emitidos en el exterior;11.605.838.987
411720301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411720302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;7.672.277.103
411720303;Instrumentos financieros de deuda de otros bancos en el exterior;0
411720304;Bonos y efectos de comercio de empresas en el exterior;0
411720309;Otros instrumentos financieros de deuda emitidos en el exterior;3.933.561.884
411740000;Otros instrumentos financieros;2.591.368.598
411740100;Créditos originados y adquiridos por la entidad;0
411740101;Adeudado por bancos;0
411740102;Colocaciones comerciales;0
411740103;Colocaciones para vivienda;0
411740104;Colocaciones de consumo;0
411740200;Otros;2.591.368.598
411800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS;90.041.246.622
411800100;Utilidad por contratos de derivados financieros para cobertura contable;85.460.992.479
411800200;Pérdida por contratos de derivados financieros para cobertura contable;-9.304.455.223
411800300;Resultados por ajuste de activos financieros cubiertos;13.884.709.366
412000000;GASTOS POR INTERESES;-673.327.470.672
412100000;PASIVOS FINANCIEROS A COSTO AMORTIZADO;-653.406.547.085
412150000;Depósitos y otras obligaciones a la vista;-49.799.270.348
412150100;Cuentas corrientes;-12.707.935.238
412150101;Cuentas corrientes de bancos del país;0
